상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
정우소체환,120p,1,8806942000625,,,,일반의약품,속 더부룩 /체했을때~
익수삼소음,75ml,1,8806585004813,,,,일반의약품,"감기,두통,발열,기침"
손가락골무(덕용),4매*20EA,1,8809175587017,,,,비의약품,-
델리오리우유껌사사미,70g,1,8809090433659,,,,비의약품,-
미니닭갈비,60g,1,8809400530788,,,,비의약품,-
터나빈크림,20g,1,8806717015519,,,,일반의약품,무좀크림(테르비나핀염산염)
이치논에이디크림,50g,1,8809400050187,,,,비의약품,-
디노키즈오메가3,60c,1,8806119817087,,,,건강기능식품,"씹어먹는 식물성 오메가3
1일 2회,1회 2캡슐"
센트룸어드밴스정,100T,1,8806489028533,,,,일반의약품,"성인을 위한 남녀 공용 종합비타민
건강 유지와 생활 활력"
센트룸어드밴스정,120T,1,8806489028557,,,,일반의약품,"성인을 위한 남녀 공용 종합비타민
건강 유지와 생활 활력"
듀오락스탑,1p,1,8809128782025,,,,건강기능식품,"보장균수 20억/1일 1회 2캡슐 
개별포장으로 일상,여행중 편하게"
프리미,1EA,1,8806121705501,,,,비의약품,-
데이체크,3KIT,1,8806121705402,,,,비의약품,-
스마일배란테스트기,15EA,1,8806277000215,,,,비의약품,-
어웨어패드,1EA,1,083059012002,083059120301,,,비의약품,-
맥스핏프리즈스프레이,150ml,1,8809048415010,,,,비의약품,-
맥스핏프리즈겔,70ml,1,8809048415003,,,,비의약품,-
